id,commented_sec,comment,is_emoticon
0,9.984,spygeaDoya spygeaDoya spygeaHi,True
1,14.802,こんばんは,False
2,19.319,こんばんは spygeaHi,True
3,19.408,こんばんは〜〜 spygeaHi spygeaHi,True
4,24.908,ギアさんリスナーさんこんばんは KonCha KonCha,True
5,27.337,んばんはー！,False
6,29.545,よお,False
7,30.982,うっす,False
8,31.081,こんばんはー,False
9,32.971,こんばん,False
10,34.31,元気か？,False
11,36.431,spygeaHi spygeaHi spygeaHi,True
12,37.97,spygeaHi,True
13,44.405,Kappa,True
14,46.969,KonCha KonCha,True
15,53.057,やった,False
16,63.157,spygeaHi spygeaHi,True
17,64.599,飯食いながらアラサア見てたら始まった,False
18,73.99,うぇ,False
19,74.729,spygeaHi,True
20,75.452,うんち,False
21,76.057,こんばんはー,False
22,76.749,うぇ,False
23,76.842,ギアさんおはようございます,False
24,78.133,こんにちは,False
25,78.211,SeemsGood,True
26,79.204,うぇえ,False
27,79.482,SPYGEA is now live! Streaming VALORANT: [DTN]うぇ,False
28,80.194,きちゃああ,False
29,80.208,うぇ,False
30,81.389,うぇ,False
31,83.094,spygeaHi spygeaHi spygeaHi,True
32,83.632,おはよう,False
33,84.431,spygeaHi,True
34,86.087,爪痕取りたい,False
35,86.748,うぇうぇ,False
36,86.816,うぇ,False
37,87.177,うぇ,False
38,88.313,うぇ,False
39,88.829,やあ,False
40,89.054,うぇ,False
41,89.836,HahaCat,True
42,90.387,うぇ,False
43,90.437,こんばんは！ spygeaHi spygeaHi spygeaHi,True
44,90.454,spygeaDoya spygeaDoya spygeaDoya,True
45,91.327,あ,False
46,91.689,快便祈願,False
47,91.849,spygeaHi spygeaHi,True
48,92.691,うぇ,False
49,92.706,まってた,False
50,93.074,ぎあさんこんばんは！,False
51,93.74,あ,False
52,93.836,ぎあさーーーーーーーーーん❤️,False
53,94.504,spygeaDance spygeaDance spygeaDance,True
54,94.996,うぇーい,False
55,95.573,a,False
56,95.695,うぇ,False
57,98.426,おざます,False
58,98.585,spygeaHi spygeaHi spygeaHi,True
59,99.741,spygeaG,True
60,101.296,うぇ,False
61,104.094,こんばんわ sekiHiW,True
62,104.216,valoきたぁぁぁぁぁぁぁ,False
63,107.746,spygeaHi spygeaHi spygeaHi,True
64,110.753,spygeaHi,True
65,110.793,やあ,False
66,112.182,こんばんは spygeaHi spygeaHi,True
67,112.246,こんばんは,False
68,112.549,ヴァロだー！,False
69,112.783,spygeaHi,True
70,113.354,これは何をやってるんです？,False
71,114.482,入り直しても1080出ないんだけどもうちょい待てばいいのかねこれ,False
72,114.588,VALO感謝,False
73,117.596,うぇ,False
74,117.913,あらかわいい,False
75,118.698,OWしながら見てます,False
76,123.239,valo珍しくない？,False
77,125.012,まってたよヴァロラント,False
78,125.872,間に合わんかったーー,False
79,126.114,うぇ,False
80,127.316,spygeaHi spygeaHi spygeaHi,True
81,130.97,ウィエ,False
82,133.884,うぇ,False
83,135.312,こんばんは😊 spygeaHi,True
84,135.549,うぇロラント,False
85,137.653,こんばんは,False
86,141.535,今日も東京タワーきれいだね,False
87,146.503,spygeaHi,True
88,150.421,買うしかない,False
89,152.233,HeyGuys,True
90,152.985,3brはチーター減るまでお休みですかね？,False
91,154.297,ダサイ・・・,False
92,155.565,"ウ""ィ""エ""",False
93,156.059,しーないん,False
94,156.597,買いですね,False
95,158.073,すぱぁ〜,False
96,158.212,かっけええええええ,False
97,159.83,買うしかない,False
98,160.482,ニューロブス,False
99,160.586,ロブスター！？,False
100,160.714,お,False
101,161.337,買ったらエイムよくなるらしいよ,False
102,162.862,かっこいいいい,False
103,164.971,ロブスター,False
104,165.018,えー正直買いです,False
105,166.77,おはようございます 配信感謝します,False
106,167.399,音がいい,False
107,167.789,音がｗ,False
108,168.399,音すげえ,False
109,169.27,かっけえええええええええええええええええ,False
110,170.431,ロブスター？！,False
111,170.497,名前長くて草,False
112,172.19,かっこいいそれ,False
113,172.9,なにそれかっけー,False
114,175.058,spygeaA spygeaA spygeaA,True
115,176.013,じゃない,False
116,176.4,おおお♪ 目に優しい緑,False
117,176.428,かっこよすぎる,False
118,176.588,なんかすげぇ,False
119,176.797,買うのかー！？,False
120,177.383,spygeaHi spygeaHi,True
121,179.359,かわいい,False
122,179.373,spygeaA spygeaA,True
123,180.647,spygeaHi spygeaHi,True
124,181.032,アスパラではないだろｗｗ,False
125,181.146,これはテンションあがるわ,False
126,181.673,強いの？,False
127,182.636,spygeaHi spygeaHi,True
128,185.116,アスパラブラスター！？,False
129,189.494,はえ〜かっけえしアスパラじゃん spygeaA spygeaA,True
130,190.27,配信待ってたよ❤️,False
131,192.117,spygeaA spygeaA,True
132,193.115,倒した敵からアスパラが生えるという,False
133,193.697,オホッ♫アスパラだ,False
134,193.746,spygeaA spygeaA,True
135,194.832,何テーショナル？,False
136,196.413,アスパラ……？,False
137,196.61,アスパラガン！？,False
138,196.952,アスパラ飛ばすは弱そう,False
139,199.077,寒くなりましたね,False
140,199.174,spygeaA spygeaA spygeaA,True
141,199.229,「食べ物で遊んじゃいけません！」,False
142,199.301,spygeaA,True
143,200.266,spygeaSg spygeaSg,True
144,200.446,大根マンは買わない,False
145,200.65,アスパラロブスター！？,False
146,201.329,こん！,False
147,202.441,spygeaHi spygeaHi,True
148,204.375,spygeaA spygeaA spygeaA spygeaA,True
149,205.852,（じつはちょっとダサいなって思ったり）,False
150,208.456,仕事帰りにライブ嬉しい,False
151,209.957,かっこいいのかこ,False
152,210.089,ギアさん買うなら俺も買うわ,False
153,210.687,さすギア,False
154,211.228,spygeaIiyo,True
155,216.456,spygeaHaa spygeaHaa spygeaHaa,True
156,217.444,音ダサいぞそれ,False
157,219.947,ギアさん今日もかっけえな,False
158,220.953,BibleThump BibleThump BibleThump BibleThump,True
159,222.136,アスパラ買うのに金足りないなんて,False
160,222.231,使命感,False
161,227.824,spygeaHi こんばんは ￼,True
162,228.58,spygeaIiyo,True
163,235.807,spygeaHi spygeaHi,True
164,241.439,ボルトみたいなかんじやな,False
165,244.101,音で注意をそらせる,False
166,245.187,ResidentSleeper ResidentSleeper ResidentSleeper,True
167,246.551,音やかましそう,False
168,248.67,コンバンワ HeyGuys,True
169,250.452,ウィエ,False
170,254.039,SeemsGood SeemsGood SeemsGood SeemsGood SeemsGood SeemsGood SeemsGood SeemsGood SeemsGood SeemsGood,True
171,257.153,o_lexx subscribed with Twitch Prime. They've subscribed for 3 months! ,False
172,259.119,HeyGuys,True
173,260.89,!spygea,False
174,261.57,こんばんは spygeaHi,True
175,264.442,ボルトSMGみたい,False
176,264.843,HeyGuys HeyGuys,True
177,265.949,spygeaHi spygeaHi,True
178,269.74,!uptime,False
179,269.99,Stream uptime: 4 minutes 41 seconds,False
180,271.277,宇宙人が持ってそうな銃だな,False
181,273.829,shakaHi shakaHi shakaHi,True
182,280.402,課金タイム,False
183,281.89,ピクセルガンに出てきそう,False
184,284.071,今日のギアさんホスト見たい,False
185,286.031,フィニッシャー欲しかったわこのスキン,False
186,286.759,spygeaHi,True
187,291.392,"だんざい subscribed with Twitch Prime. They've subscribed for 3 months, currently on a 2 month streak! ",False
188,297.14,なんか今日わかくみえる,False
189,297.241,今日のギアさんビジュアル系みたい,False
190,298.024,spygeaHi spygeaHi spygeaHi かみがた spygeaIiyo,True
191,298.467,GTAVの銃,False
192,300.655,今週乗り越えられますように,False
193,303.064,まじで今日かっこいいな………,False
194,303.424,おんぎゃあ！おんぎゃあ！！,False
195,308.83,ヘッドショット確定だ✨,False
196,310.244,spygeaHi spygeaHi spygeaHi,True
197,312.969,若い頃みたい,False
198,313.685,スキンが変われば気持ちも変わる‼︎,False
199,315.681,辻仁成っぽい,False
200,316.222,パイギガールズ発狂するかっこよさ,False
201,318.282,!rank,False
202,324.945,あ...,False
203,325.2,zusun00 subscribed with Twitch Prime. They've subscribed for 3 months! ,False
204,325.732,おー,False
205,325.89,今日イケメンだ spygeaHi spygeaHi,True
