id,commented_time,comment,is_emoticon
0,9.521,shakaHi shakaHi,True
1,9.738,shakaHi shakaHi shakaHi shakaHi shakaHi shakaShakaa,True
2,10.12,ShowOfHands ShowOfHands ShowOfHands,True
3,11.127,おはよう,False
4,11.279,よおおおと,False
5,12.362,shakaHi shakaHi,True
6,12.754,shakaHi shakaHi shakaHi,True
7,15.266,shakaHi shakaHi,True
8,15.687,おはよう,False
9,15.78,パン１釈迦,False
10,15.984,shakaHi shakaHi,True
11,17.171,shakaHi shakaHi shakaHi,True
12,18.016,shakaHi shakaHi,True
13,18.573,shakaHi shakaHi,True
14,18.741,GenderFluidPride GenderFluidPride GenderFluidPride,True
15,20.418,shakaHi shakaHi,True
16,20.62,shakaHi shakaHi shakaHi,True
17,23.028,shakaHi shakaHi shakaHi,True
18,23.262,shakaHi shakaHi shakaHi,True
19,23.269,shakaHi,True
20,23.485,shakaHi shakaHi shakaHi shakaHi,True
21,23.632,shakaHi shakaHi shakaHi shakaHi shakaHi,True
22,23.859,shakaHi shakaHi shakaHi shakaHi,True
23,23.899,shakaHi shakaHi,True
24,24.186,1ゲット！！！！！！！！！,False
25,24.571,HeyGuys,True
26,25.323,やあ,False
27,26.823,SeemsGood,True
28,27.006,こんばんは！,False
29,28.16,shakaHi shakaHi shakaHi,True
30,32.523,なると走り撤廃,False
31,33.21,shakaHi shakaHi,True
32,34.112,shakaHi shakaHi,True
33,34.141,shakaHi shakaHi,True
34,34.373,やあ,False
35,35.143,歯磨き？,False
36,35.907,うっす,False
37,36.209,アクエリ subscribed at Tier 2. They've subscribed for 34 months! shakaHi,True
38,36.657,shakaHi shakaHi shakaHi,True
39,37.003,shakaHi,True
40,39.222,集会所いるんですが...,False
41,39.516,よ,False
42,39.664,BibleThump,True
43,41.578,shakaHi shakaHi shakaHi shakaHi shakaHi shakaHi shakaHi shakaHi shakaHi shakaHi shakaHi shakaHi shakaHi shakaHi shakaHi shakaHi shakaHi shakaHi shakaHi shakaHi,True
44,42.42,shakaHi shakaHi shakaHi,True
45,43.976,shakaHi shakaHi,True
46,44.623,タグｗｗ,False
47,44.755,shakaHi shakaHi,True
48,45.653,shakaHi shakaHi shakaHi shakaHi,True
49,45.886,shakaHi shakaHi,True
50,46.229,shakaHi shakaHi shakaHi shakaHi shakaHi shakaHi,True
51,46.904,おはよ,False
52,47.061,%うおぉーーーー,False
53,47.068,shakaHi shakaHi shakaHi,True
54,49.364,shakaHi shakaHi shakaHi shakaHi shakaHi shakaHi shakaHi shakaHi,True
55,49.849,shakaFoo shakaFoo shakaFoo shakaFoo shakaFoo shakaFoo shakaFoo shakaFoo shakaFoo shakaFoo,True
56,50.187,!game,False
57,50.437,@hinatazk -> fps_shaka is playing Monster Hunter: World,False
58,51.783,shakaHi shakaHi shakaHi shakaHi shakaHi shakaHi,True
