id,commented_sec,comment,is_emoticon
0,0.08,shakaHi shakaHi,True
1,0.272,shakaHi shakaHi,True
2,3.675,shakaHi shakaHi,True
3,7.881,shakaHi shakaHi,True
4,9.981,shakaHi shakaHi shakaHi,True
5,11.8,shakaHi shakaHi,True
6,14.648,among usだああああああああああああああ,False
7,14.693999999999999,shakaHi shakaHi,True
8,14.754,shakaHi shakaHi,True
9,14.882,shakaHi shakaHi shakaHi shakaHi,True
10,17.384,shakaHi shakaHi shakaHi shakaHi shakaHi,True
11,19.828,shakaHi shakaHi,True
12,21.092,shakaHi shakaHi,True
13,22.252,shakaHi shakaHi shakaHi,True
14,22.51,HeyGuys,True
15,22.802,shakaHi shakaHi shakaHi,True
16,23.919,shakaHi shakaHi,True
17,26.758,!member,False
18,26.916,"Stylishnoobさん , KHさん",False
19,27.364,shakaHi,True
20,28.714,ちわ,False
21,29.55,shakaHi shakaHi,True
22,29.79,shakaDtn shakaDtn shakaDtn shakaDtn shakaDtn shakaDtn shakaDtn shakaDtn shakaDtn,True
23,32.657,shakaHi shakaHi,True
24,34.135,shakaHi shakaHi,True
25,36.423,shakaDtn shakaDtn shakaDtn shakaDtn shakaDtn,True
26,37.621,やまとんさんいる！,False
27,37.771,shakaHi shakaHi shakaHi shakaHi shakaHi shakaHi shakaHi shakaHi,True
28,38.289,shakaHi shakaHi,True
29,38.331,よお,False
30,38.486,shakaHi shakaHi,True
31,38.681,shakaHi shakaHi shakaHi shakaHi,True
32,39.351,shakaHi shakaHi,True
33,39.52,shakaHi shakaHi,True
34,41.611,shakaHi shakaHi shakaHi,True
35,41.835,よお,False
36,42.664,shakaHi shakaHi shakaHi,True
37,43.323,shakaDtn shakaDtn shakaDtn shakaDtn shakaDtn shakaDtn shakaDtn,True
38,43.575,大集合だぁ,False
39,44.449,なんのゲームなんだろう,False
40,44.463,よお,False
41,44.915,shakaHi shakaHi,True
42,45.229,うおおおおおおおおおおおおお,False
43,46.265,shakaHi shakaHi shakaHi,True
44,46.519,レボリューション subscribed at Tier 1. They've subscribed for 13 months! shakaDtn shakaDtn,True
45,47.003,shakaHi shakaHi shakaHi,True
46,47.261,shakaHi shakaHi,True
47,47.803,shakaHi shakaHi,True
48,49.871,shakaHi shakaHi shakaHi,True
49,50.631,shakaHi shakaHi,True
50,51.019,"ぱんけちゃん subscribed with Twitch Prime. They've subscribed for 7 months, currently on a 2 month streak! DTNきちゃああああああああああああああああああああああああああああああ",False
51,51.13,えぇぇ！！！！,False
52,51.199,shakaHi shakaHi shakaHi shakaHi shakaHi shakaBachi shakaBachi shakaBachi shakaBachi shakaBachi,True
53,52.147,shakaHi shakaHi,True
54,53.774,おじゃ,False
55,54.973,shakaHi shakaHi,True
56,55.312,PogChamp PogChamp PogChamp PogChamp PogChamp,True
57,55.867,"cch_bokimeatman subscribed at Tier 1. They've subscribed for 12 months, currently on a 1 month streak! ",False
58,56.788,きちゃ,False
59,57.725,こんばんは,False
60,58.587,shakaHi shakaHi shakaHi,True
61,59.88,豪華あああああああああ,False
62,60.773,shakaHi shakaHi,True
63,60.959,shakaHi shakaHi,True
64,61.149,shakaHi shakaHi,True
65,61.581,すごい面子だ,False
66,61.684,HeyGuys,True
67,62.867,この時間帯に先生いるなんて超珍しい,False
68,63.629,shakaHi shakaHi,True
69,63.903,shakaHi shakaHi shakaHi,True
70,64.102,shakaHi shakaHi,True
71,65.312,shakaHi shakaHi shakaHi shakaHi shakaHi,True
72,65.482,きｔで,False
73,66.133,うっどすとっく subscribed with Twitch Prime. They've subscribed for 18 months! ,False
74,68.559,shakaHi shakaHi shakaHi,True
75,68.614,案件？？,False
76,69.073,ぽめぇ subscribed at Tier 1. They've subscribed for 30 months! ,False
77,69.223,やまとんさんがいるぞ,False
78,69.783,"iori6211 subscribed with Twitch Prime. They've subscribed for 2 months, currently on a 1 month streak! shakaHi",True
79,70.593,Noo,False
80,70.691,shakaHi shakaHi,True
81,71.528,なんだこのメンツ！？,False
82,71.747,やまとん？！,False
83,72.399,これはすごいな,False
84,72.787,なにこれ楽しそう！！！,False
85,73.571,shakaHi shakaHi,True
86,74.388,こんばんは,False
87,74.618,shakaHi shakaHi,True
88,74.703,飯食ったか？,False
89,76.36,shakaHi shakaHi,True
90,77.124,shakaHi shakaHi,True
91,78.632,みんなおるやん！！！,False
92,78.832,shakaHi shakaHi shakaHi,True
93,79.887,新しいバトロアですか？,False
94,81.163,何だあ？,False
95,81.325,shakaHi shakaHi,True
96,81.722,外人のTwitterでよく見るフォールガイズじゃないやつだ,False
97,82.672,豪華メンバー,False
98,84.107,ｗｗｗｗｗ,False
99,84.133,あれスタヌー,False
100,84.445,こんばんは,False
101,85.172,Stylishnooさん！？,False
102,85.287,みんないる,False
103,85.709,やまとんさんお久だ,False
104,87.082,やま！？！？,False
105,87.162,shakaHi shakaHi shakaHi shakaHi shakaHi shakaHi,True
106,87.196,やまとんさんの声久しぶりに聞いた,False
107,87.663,shakaPsycho shakaPsycho shakaPsycho,True
108,87.763,これ好き,False
109,88.114,うおおおおおおおおおおおお,False
110,88.556,shakaHi shakaHi,True
111,89.274,なんだこれw,False
112,89.529,"にふてぃ subscribed at Tier 1. They've subscribed for 7 months, currently on a 4 month streak! Among Us 感謝！！！",False
113,89.871,問題発言ｗ,False
114,90.667,こんばんわ,False
115,91.615,ニンジャとかがやってたゲームか,False
116,92.741,ｷﾀ━(ﾟ∀ﾟ)━!,False
117,93.587,すたぬきえた,False
118,94.431,やまとんさーん！,False
119,95.55,shakaHi shakaHi shakaHi shakaHi shakaHi shakaHi shakaHi,True
120,95.719,nooさん？,False
121,98.986,やまとん先生配信外？,False
122,99.193,shakaHi shakaHi,True
123,99.235,やまとんさん！？,False
124,99.994,こっわ,False
125,100.956,ｗｗｗｗ,False
